area,area_name,education_category,tot_emp,pct_total ,emp_prse,h_mean,a_mean,mean_prse ,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90
  10180,"Abilene, TX",Doctoral or professional degree,"1,620",2.5,12.0,62.99,"131,030",9.3,17.22,30.80,47.98,80.63,#,"35,820","64,060","99,800","167,720",#
  10180,"Abilene, TX",Master's degree,"1,270",2.0,9.6,33.16,"68,980",3.7,16.86,22.49,28.98,39.91,56.39,"35,070","46,770","60,270","83,020","117,280"
  10180,"Abilene, TX",Bachelor's degree,"11,150",17.3,6.7,30.64,"63,730",4.3,13.54,20.08,26.37,35.71,49.99,"28,160","41,770","54,860","74,270","103,980"
  10180,"Abilene, TX",Associate's degree,"1,610",2.5,9.1,25.18,"52,360",3.5,11.90,17.67,23.57,31.24,39.85,"24,750","36,760","49,030","64,990","82,880"
  10180,"Abilene, TX",Postsecondary nondegree award,"5,160",8.0,8.0,18.67,"38,830",3.1,10.43,12.75,17.71,23.02,29.16,"21,690","26,520","36,840","47,880","60,660"
  10180,"Abilene, TX","Some college, no degree","1,470",2.3,4.5,14.50,"30,160",3.9,8.62,10.16,13.13,17.43,22.80,"17,940","21,120","27,310","36,250","47,430"
  10180,"Abilene, TX",High school diploma or equivalent,"25,020",38.8,3.0,17.71,"36,830",1.3,9.11,11.54,15.60,21.00,29.08,"18,950","24,000","32,450","43,680","60,480"
  10180,"Abilene, TX",No formal educational credential,"17,150",26.6,2.5,11.45,"23,820",1.7,8.00,8.68,9.97,12.81,17.17,"16,640","18,060","20,730","26,650","35,720"
  10380,"Aguadilla-Isabela, PR",Doctoral or professional degree,670,1.5,8.3,31.32,"65,140",5.4,13.47,19.47,29.67,40.10,54.61,"28,010","40,500","61,700","83,400","113,590"
  10380,"Aguadilla-Isabela, PR",Master's degree,680,1.5,5.8,19.22,"39,980",1.3,11.11,13.90,18.70,23.76,28.97,"23,100","28,920","38,890","49,430","60,260"
  10380,"Aguadilla-Isabela, PR",Bachelor's degree,"9,850",22.3,1.4,21.47,"44,660",2.5,10.87,14.59,19.40,24.49,35.78,"22,620","30,350","40,350","50,940","74,410"
  10380,"Aguadilla-Isabela, PR",Associate's degree,950,2.2,7.1,15.60,"32,450",4.0,8.26,9.55,13.33,20.14,24.84,"17,170","19,850","27,720","41,900","51,680"
  10380,"Aguadilla-Isabela, PR",Postsecondary nondegree award,"1,480",3.3,5.0,9.52,"19,800",2.4,7.79,8.18,8.83,9.54,11.57,"16,190","17,010","18,360","19,830","24,060"
  10380,"Aguadilla-Isabela, PR","Some college, no degree",900,2.0,3.3,9.99,"20,790",1.4,7.84,8.29,9.04,10.64,14.27,"16,310","17,240","18,800","22,140","29,680"
  10380,"Aguadilla-Isabela, PR",High school diploma or equivalent,"17,010",38.5,2.1,10.53,"21,910",1.6,7.82,8.29,9.07,11.13,15.47,"16,270","17,250","18,870","23,140","32,190"
  10380,"Aguadilla-Isabela, PR",No formal educational credential,"12,640",28.6,2.7,8.75,"18,190",0.8,7.76,8.10,8.67,9.24,9.73,"16,150","16,860","18,040","19,210","20,240"
  10420,"Akron, OH",Doctoral or professional degree,"9,860",3.0,6.4,63.06,"131,160",7.9,19.00,30.44,50.31,79.90,#,"39,520","63,310","104,650","166,180",#
